epnumber,pull?,eptype,epsubtype,releaseorder,guestprefix,guestfirstname,guestsurname,guestsuffix,guestspecialname,guestanon?,epnamesubtitle,firstnameoverride,fullnameoverride,guestfullname,guestdisplayfirstname,guestdisplayfullname,epdisplayname,parenthesisafterspecial,episodefullname,epfullname,releasedateddmmyyyy,releasedatelong,spotlink,applelink,ytlink,amazlink,artworkimg,live?,seriesno,epwithinseries,SNEN,S0NE0N,durationshhmmss,durationmm,durationhrm,1stjob,2ndjob,3rdjob,guestinsta1,guestinsta2,guestinstahandle1,guestinstalink1,guestinstahandle2,guestinstalink2,guestx1,guestx2,guestxhandle1,guestxlink1,guestxhandle2,guestxlink2,website1,website1label,featurequote1,acastblurb,credit1title,credit1person,credit2title,credit2person,credit3title,credit3person,bonuscontentlabel1,bonuscontentlink1,bonuscontentlabel2,bonuscontentlink2
11,Y,reg,reg,11,,Sean,Gilbody,,,,,,,Sean Gilbody,Sean,Sean Gilbody,Sean Gilbody,,Episode 11: Sean Gilbody,Ep. 11: Sean Gilbody,22/01/2024,"22 January, 2024",https://open.spotify.com/episode/1bB1fg2l7KTofvq7myPHx4?si=Ppq76dV4TDS_ai6B0eXbRA,https://podcasts.apple.com/gb/podcast/ep-11-sean-gilbody/id1705650684?i=1000642451743,https://youtu.be/r9JpJSCzG7E?si=X6atP36hoL_pfHuu,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/2ba4965c-c361-467f-bd03-af5d40d87f9c/careers-mare-ep-11-sean-gilbody,images/artworks/artwork11.png,Y,1,11,S1E11,S1E11,01:03:45,64,1 hr 4 m,project manager,,,,,,,,,SeanGilbody,,@SeanGilbody,https://x.com/SeanGilbody/,,,,,,"Will a 900-year-old building collapse on rakish raconteur Sean Gilbody before he can dox Paul McCartney? For this episode it is Jacob and Jordan's mission to find out, and, possibly, to pull him from the rubble. Learn all about bouncing, stewarding, project-managing, and influencing, as well as Sean's dream job(s?)",Music by,Robbie George,,,Edited by,Jacob Power,,,,
12,Y,reg,reg,12,,Chris,Sylla,,,,,,,Chris Sylla,Chris,Chris Sylla,Chris Sylla,,Episode 12: Chris Sylla,Ep. 12: Chris Sylla,05/02/2024,"5 February, 2024",https://open.spotify.com/episode/4u1LljRckaQbb1gB11cKfG?si=nTsTv1CcRGCyhzScD6jZwQ,https://podcasts.apple.com/gb/podcast/ep-12-chris-sylla/id1705650684?i=1000644179642,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/adaa20c3-a4c1-4a87-b560-6af6d2878dea/careers-mare-ep-12-chris-sylla,images/artworks/artwork12.png,Y,1,12,S1E12,S1E12,01:04:22,64,1 hr 4 m,community musician,,,toumaranke,,@toumaranke,https://instagram.com/toumaranke/,,,toumaranke,,@toumaranke,https://x.com/toumaranke/,,,,,,"Welcome to Toumaranke Kunda (the House of Outsiders)! Chris Sylla, a community musician specialising in West African drumming and dance, takes Jacob and Jordan through her journey from childhood dreams of trawlers, to teaching sociology and deconstructing the male gaze, to becoming a qualified massage therapist, to where she is now, as well as time for caring for her parents full-time. As well as all this, we help her to find a dream job which may involve subterranean railways and musical frogs...",Music by,Robbie George,,,Edited by,Jacob Power,,,,
13,Y,reg,reg,13,,Alex,Matthews,,,,,,,Alex Matthews,Alex,Alex Matthews,Alex Matthews,,Episode 13: Alex Matthews,Ep. 13: Alex Matthews,19/02/2024,"19 February, 2024",https://open.spotify.com/episode/1VJsm2DYP4sXwW60VZ785O?si=oaNcSEaxS6-Ps8bRpkRrjg,https://podcasts.apple.com/gb/podcast/ep-13-alex-matthews/id1705650684?i=1000645815922,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/83e9fdbc-61bb-427e-8afd-4f7ca0782cb6/careers-mare-ep-13-alex-matthews,images/artworks/artwork13.png,Y,1,13,S1E13,S1E13,01:20:25,80,1 hr 20 m,technical logistics operative,,,,,,,,,,,,,,,,,,"Jordan, Jacob and this episode's guest Alex Matthews explore the technical challenges behind broadcast news, covering royal events, party conferences and public hostility. There are other pressing concerns, however, such as buying and selling classic cars, turning hatred of herons into the world's highest-budget comedy sketch, and attempting to solve one of the world's great puzzles: Who is Jimmy Mattress?",Music by,Robbie George,,,Edited by,Jacob Power,,,,
14,Y,reg,reg,14,,Abbie,Edwards,,,,,,,Abbie Edwards,Abbie,Abbie Edwards,Abbie Edwards,,Episode 14: Abbie Edwards,Ep. 14: Abbie Edwards,04/03/2024,"4 March, 2024",https://open.spotify.com/episode/7cSu0W74mrkdsI4idjnG0y?si=iaGpFRTBTE20gm0OHJA-MQ,https://podcasts.apple.com/gb/podcast/ep-14-abbie-edwards/id1705650684?i=1000647895096,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/01ba6ab6-a531-4825-bc38-2449a7c413d9/careers-mare-ep-14-abbie-edwards,images/artworks/artwork14.png,Y,1,14,S1E14,S1E14,01:01:34,62,1 hr 2 m,teaching assistant,comedian,,abbieedwards98,,@abbieedwards98,https://instagram.com/abbieedwards98/,,,abbieedwards98,,@abbieedwards98,https://x.com/abbieedwards98/,,,,,,"It's back to school for Jacob and Jordan this episode, as comedian Abbie Edwards takes them through her day job as a teaching assistant. Listen to find out all about teaching young 'uns to spell, do maths and sing John Mulaney, as well organising comedy nights, pre-show nerves, Abbie's dream job, and the rule of three.",Music by,Robbie George,,,Edited by,Jacob Power,,,,
15,Y,reg,reg,15,,Robert,Van de Weyer,,,,,,,Robert Van de Weyer,Robert,Robert Van de Weyer,Robert Van de Weyer,,Episode 15: Robert Van de Weyer,Ep. 15: Robert Van de Weyer,18/03/2024,"18 March, 2024",https://open.spotify.com/episode/1JIDSEJQtWoWqS6YPwJHg7?si=av2jiDNUQQaUaHibMYOFDA,https://podcasts.apple.com/gb/podcast/ep-15-robert-van-de-weyer/id1705650684?i=1000649539188,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/2bbcc59e-7069-4984-a1a7-a47aec27c593/careers-mare-ep-15-robert-van-de-weyer,images/artworks/artwork15.png,Y,1,15,S1E15,S1E15,01:18:27,78,1 hr 18 m,Anglican minister,author,,,,,,,,,,,,,,,,,"What sort of working life involves caring for the mentally ill, lecturing in economics, and inspecting the neatly piled-up bones of a hermit monk? It could only be Robert Van de Weyer, an economist, award-winning author and Anglican priest, who joins Jordan and Jacob in this episode to discuss his fascinating vocation, from its origins in India, via the Ethiopian Empire and the Little Gidding community, to the heart of Cambridge.",Music by,Robbie George,,,Edited by,Jacob Power,,,,
16,Y,reg,reg,16,,Tessa,Stirling,,,,,,,Tessa Stirling,Tessa,Tessa Stirling,Tessa Stirling,,Episode 16: Tessa Stirling,Ep. 16: Tessa Stirling,01/04/2024,"1 April, 2024",https://open.spotify.com/episode/2NP6fBMHwkAEBSDDpYKT72?si=_flhz56FQmK_WFZSC6CqOg,https://podcasts.apple.com/gb/podcast/ep-16-tessa-stirling/id1705650684?i=1000651024671,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/bfcdefac-81a3-4905-bafa-669704bc4d35/careers-mare-ep-16-tessa-stirling,images/artworks/artwork16.png,Y,1,16,S1E16,S1E16,01:03:56,64,1 hr 4 m,graphic designer,business owner,,lasola_studio,tessastirling,@lasola_studio,https://instagram.com/lasola_studio/,@tessastirling,https://instagram.com/tessastirling/,,,,,,,,,,"Strewth, we're going global with our first-ever international chinwag, and we're yarning with the Aussie legend herself, graphic designer Tessa Stirling! Tessa's giving us the lowdown on juggling her own graphic design biz, Lasola, plus her cheeky side gigs (and cheeky Nando's). We're also sussing out her dream gig and giving a big ol' salute to General Pants!",Music by,Robbie George,,,Edited by,Jacob Power,,,,
17,Y,reg,reg,17,,Robin,Harris,,,,,,,Robin Harris,Robin,Robin Harris,Robin Harris,,Episode 17: Robin Harris,Ep. 17: Robin Harris,15/04/2024,"15 April, 2024",https://open.spotify.com/episode/1ivvwoSBPrDdXdhkwrj99c?si=AvNr90MjQAyGf23B1qxVYg,https://podcasts.apple.com/gb/podcast/ep-17-robin-harris/id1705650684?i=1000652456186,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/887198dd-4f7e-4dd3-b1b8-26512af59959/careers-mare-ep-17-robin-harris,images/artworks/artwork17.png,Y,1,17,S1E17,S1E17,01:17:14,77,1 hr 17 m,actor,,,robinharrris,,@robinharrris,https://instagram.com/robinharrris/,,,_RobinHarris,,@_RobinHarris,https://x.com/_RobinHarris/,,,https://app.spotlight.com/8016-8944-5827,Robin's Spotlight profile,"Within ten minutes, I'd broken a giant vase.","Robin Harris is an actor who has cycled across Great Britain performing Shakespeare, exploded into a shower of goo in a Lynx advert, and played a young version of his ancestor C. S. Lewis. In this episode, he joins Jacob and Jordan to explore his career and discover his extremely fun dream job. Will they be able to work together to solve that ancient puzzle: How did Robin manage to smash a wooden vase?",Music by,Robbie George,,,Edited by,Jacob Power,Playing 'No More Jockeys' with the Actors,https://www.youtube.com/watch?v=FhzBup7e6TY,,
18,Y,reg,reg,18,,Patrick,Stahl,,,,,,,Patrick Stahl,Patrick,Patrick Stahl,Patrick Stahl,,Episode 18: Patrick Stahl,Ep. 18: Patrick Stahl,29/04/2024,"29 April, 2024",https://open.spotify.com/episode/0R0EbwPABJbfgg3E1fk5Ma?si=V4bwGEZrQ4W8jdAy8uAgfA,https://podcasts.apple.com/gb/podcast/ep-18-patrick-stahl/id1705650684?i=1000653870083,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/828d09eb-a553-43ec-af97-fe33b0467541/careers-mare-ep-18-patrick-stahl,images/artworks/artwork18.png,Y,1,18,S1E18,S1E18,01:33:10,93,1 hr 33 m,leadership coach,,,konsultpappan,findperfectlife,@konsultpappan,https://instagram.com/konsultpappan/,@findperfectlife,https://instagram.com/findperfectlife/,Konsultpappan,,@Konsultpappan,https://x.com/Konsultpappan/,,,,,,"Hallå där! Kom in! Leadership expert and self-leadership trainer Patrick Stahl joins us for this episode, in which we discuss the impact of psychological safety, how artifical intelligence is changing business, and how to deal with complexity. But can we also help Patrick to find his dream job?",Music by,Robbie George,,,Edited by,Jacob Power,,,,
19,Y,reg,reg,19,,Hudson,Hughes,,,,,,,Hudson Hughes,Hudson,Hudson Hughes,Hudson Hughes,,Episode 19: Hudson Hughes,Ep. 19: Hudson Hughes,13/05/2024,"13 May, 2024",https://open.spotify.com/episode/6GnIACTctrvvyQftLHUTBJ?si=fttUNV28STqCyh8uut2fPw,https://podcasts.apple.com/gb/podcast/ep-19-hudson-hughes/id1705650684?i=1000655374670,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/534b54ae-5578-419c-942c-19ebcee7064b/careers-mare-ep-19-hudson-hughes,images/artworks/artwork19.png,Y,1,19,S1E19,S1E19,01:32:16,92,1 hr 32 m,filmmaker,comedian,,hudsonhughesfilms,dinnerdaddies,@hudsonhughesfilms,https://instagram.com/hudsonhughesfilms/,@dinnerdaddies,https://instagram.com/dinnerdaddies/,,,,,,,https://hudsonhughesfilms.com/,Hudson's Website,It was just hexagons.,"It's Hexagon Hughes, I mean Hudson Hexagons, I mean Hudson Hughes! Today's guest is filmmaker, comedian and editor Hudson Hughes! Listen to find out about the feature film he made in his garage, his unfortunate lifeguarding encounter with Mr Brown, and which animator he plans to take captive as part of his dream job... and what about the hexagons?",Music by,Robbie George,Recording Producer,Alex Matthews,Edited by,Jacob Power,,,,
20,Y,reg,reg,20,,Jamie,Radford,,"""@thegreatnorfolkcarpenter""",N,,,,Jamie Radford,Jamie,Jamie Radford,@thegreatnorfolkcarpenter,Jamie Radford,Episode 20: @thegreatnorfolkcarpenter (Jamie Radford),Ep. 20: @thegreatnorfolkcarpenter (Jamie Radford),27/05/2024,"27 May, 2024",https://open.spotify.com/episode/0FD1mox1N51sZjkSUQqSfj?si=OY7PE2zgRkibqnvTjzS-GA,https://podcasts.apple.com/gb/podcast/ep-20-thegreatnorfolkcarpenter-jamie-radford/id1705650684?i=1000656872601,,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/c11689d8-322f-445e-8248-f4c5ddcfbd6f/careers-mare-ep-20-athegreatnorfolkcarpenter-jamie-radford,images/artworks/artwork20.png,Y,1,20,S1E20,S1E20,01:18:02,78,1 hr 18 m,carpenter,influencer,,thegreatnorfolkcarpenter,radford.renovations,@thegreatnorfolkcarpenter,https://instagram.com/thegreatnorfolkcarpenter/,@radford.renovations,https://instagram.com/radford.renovations/,,,,,,,,,,"Oak. Mahogany. Sycamore. Wood you guess what all of these have in common? If you can't then that's pine, because our guest Jamie Radford is here to help! Better known as @thegreatnorfolkcarpenter, the carpenter and social media star tells us all about life on building sites, his growing TikTok presence, and as always, his dream job.",Music by,Robbie George,,,Edited by,Jacob Power,,,,
